,NAME,WEBSITE_LINK,AVG_DEBT,AVG_MONTHLY_REPAY,FINANCIAL_AID_CALC,SCHOOL_MEDIAN_EARNINGS,NATIONAL_4_YEAR_MEDIAN,EARNINGS_VS_HS_GRAD,WHITE_POP,BLACK_POP,HISPANIC_POP,ASIAN_POP,INDIGENOUS_POP,HAWAIIAN/PACIFIC_ISLANDER_POP,MULTIRACIAL_POP,UNKNOWN_RACE_POP,INTERNATIONAL_POP,COST_AFTER_AID_0_30,COST_AFTER_AID_30_48,COST_AFTER_AID_48_75,COST_AFTER_AID_75_110,COST_AFTER_AID_110,MONTHLY_REPAY_PERCENTAGE
3200,Rice University,www.rice.edu/,11000,116.618306919606,https://financialaid.rice.edu/calculate-my-cost,89718.0,53747.0,0.8552,0.2819,0.0792,0.1547,0.2946,0.0011,0.0007,0.048,0.0147,0.125,5292.0,4126.0,6905.0,13245.0,43636.0,0.015597981263907712
3201,Saint Edward's University,https://www.stedwards.edu/,24803,262.953078775182,https://stedwards.studentaidcalculator.com/survey.aspx,58826.0,53747.0,0.7317,0.3217,0.0353,0.5162,0.0254,0.0036,0.0004,0.0269,0.0087,0.0618,17738.0,20598.0,21925.0,28697.0,31099.0,0.05364017518277945
3202,St Philip's College,www.alamo.edu/spc/,9500,100.715810521478,www.alamo.edu/nvc/experience-nvc/current-students/financial-literacy/,38224.0,40241.5,0.589,0.1601,0.1011,0.6702,0.0238,0.0018,0.0017,0.0368,0.0039,0.0006,6804.0,7140.0,8553.0,9299.0,12147.0,0.03161860941444475
3203,University of St Thomas,https://www.stthom.edu/,19928,211.269965481265,https://tcc.ruffalonl.com/UniversityofStThomas/freshmanstudents?Aquifer_Source_URL=/FreshmanCalculator&PNF_Check=1,59224.0,53747.0,0.7561,0.1997,0.0741,0.5012,0.109,0.0024,0.0008,0.0123,0.0539,0.0468,17838.0,15147.0,17686.0,20726.0,25805.0,0.042807638554896325
3204,Sam Houston State University,www.shsu.edu/,21983,233.056385546701,www.shsu.edu/dept/cashiers/cost/,54211.0,53747.0,0.736,0.4729,0.1642,0.2701,0.0219,0.0067,0.0012,0.0351,0.0193,0.0086,10354.0,11586.0,15540.0,20752.0,22678.0,0.05158872971464116
3205,San Antonio College,www.alamo.edu/sac,10500,111.317474786897,www.alamo.edu/nvc/experience-nvc/current-students/financial-literacy/,39711.0,40241.5,0.5749,0.1698,0.0765,0.6923,0.0225,0.0017,0.0015,0.0311,0.0002,0.0045,6303.0,6656.0,8246.0,10104.0,11834.0,0.03363827900185752
3206,San Jacinto Community College,www.sanjac.edu/,9500,100.715810521478,https://sanjac.edu/admissions/paying-for-college/,43062.0,40241.5,0.5796,0.183,0.0894,0.6325,0.0477,0.002,0.0005,0.0181,0.0099,0.017,9721.0,8955.0,10335.0,12340.0,12609.0,0.02806627017457935
3207,Schreiner University,www.schreiner.edu/,23250,246.488694170986,schreiner.edu/admissions/financial-services/costs-calculators/net-price-calculator/,52228.0,53747.0,0.7332,0.4915,0.054,0.3949,0.0076,0.0047,0.0019,0.035,0.0,0.0104,19414.0,19010.0,22187.0,26541.0,27524.0,0.05663368940131409
3208,Seguin Beauty School-Seguin,seguinbeautyschool.net/,9995,105.96363433286,seguinbeautyschool.net/wp-content/uploads/2023/11/index.html,21891.0,31213.0,0.2462,0.58,0.02,0.4,0.0,0.0,0.0,0.0,0.0,0.0,16066.0,16554.0,21885.0,21885.0,21885.0,0.05808613640282855
3209,St. Mary's University,www.stmarytx.edu/,25563,271.0103436169,www.stmarytx.edu/admission/financial-aid/net-price-calculator/,56955.0,53747.0,0.728,0.1231,0.0281,0.6047,0.0226,0.0075,0.0025,0.0141,0.1266,0.0708,20115.0,19204.0,21545.0,23961.0,25520.0,0.057099888041485386
3210,South Plains College,www.southplainscollege.edu/,10500,111.317474786897,www.collegeforalltexans.com/apps/CollegeMoney/,41276.0,40241.5,0.5887,0.3492,0.0789,0.5321,0.0204,0.0124,0.0025,0.0,0.0008,0.0038,5468.0,6674.0,8839.0,11478.0,11560.0,0.03236286697942543
